ID_REGISTRO, OPERADOR, SONDA, TECN, AMBITO, CLASE, PLAN, VEL_CONT_B, VEL_CONT_S, CAT, LAT, VB, VS, JIT, PP, FECHA
1, COTES, 100001, ADSL, 1, 3, D-Extra 8, 8, 2, 1, 40.916, 6.20570679065800, .85246134201848, .3538, 0, 2021-04-01 12:00:01
2, COTES, 100001, ADSL, 1, 3, D-Extra 8, 8, 2, 1, 27.627, 6.46782519603416, .85215101639472, .3659, 0, 2021-04-01 12:20:01
3, COTES, 100001, ADSL, 1, 3, D-Extra 8, 8, 2, 1, 27.464, 6.48795035403848, .85544977586760, 2.8476, 0, 2021-04-01 12:40:01
4, COTES, 100001, ADSL, 1, 3, D-Extra 8, 8, 2, 1, 27.332, 6.00372026493344, .84203957607952, 3.4789, 0, 2021-04-01 13:00:01
5, COTES, 100001, ADSL, 1, 3, D-Extra 8, 8, 2, 1, 27.211, 6.56344186891032, .85765589312448, .2685, 0, 2021-04-01 13:20:01
6, COTES, 100001, ADSL, 1, 3, D-Extra 8, 8, 2, 1, 28.174, 6.38537655375568, .85332369324848, .3162, 0, 2021-04-01 13:40:01
7, COTES, 100001, ADSL, 1, 3, D-Extra 8, 8, 2, 1, 27.069, 6.49524137197976, .85855666903728, .2624, 0, 2021-04-01 14:00:01
8, COTES, 100001, ADSL, 1, 3, D-Extra 8, 8, 2, 1, 27.181, 6.56348763993712, .85139336792384, .3405, 0, 2021-04-01 14:20:01
9, COTES, 100001, ADSL, 1, 3, D-Extra 8, 8, 2, 1, 27.008, 6.53681123373920, .85240276276408, .2213, 0, 2021-04-01 14:40:01
10, COTES, 100001, ADSL, 1, 3, D-Extra 8, 8, 2, 1, 27.295, 6.41788731742800, .85568228700744, 20.6340, 0, 2021-04-01 15:00:01
11, COTES, 100001, ADSL, 1, 3, D-Extra 8, 8, 2, 1, 28.631, 6.54707348277080, .85879046878184, .3427, 0, 2021-04-01 15:20:01
12, COTES, 100001, ADSL, 1, 3, D-Extra 8, 8, 2, 1, 27.319, 6.56358793595800, .85845596636968, .2545, 0, 2021-04-01 15:40:01
13, COTES, 100001, ADSL, 1, 3, D-Extra 8, 8, 2, 1, 27.300, 6.56337758744648, .85698692873592, .3398, 0, 2021-04-01 16:00:01
14, COTES, 100001, ADSL, 1, 3, D-Extra 8, 8, 2, 1, 27.052, 6.53800388282208, .85896218432808, .4731, 0, 2021-04-01 16:20:01
15, COTES, 100001, ADSL, 1, 3, D-Extra 8, 8, 2, 1, 26.970, 6.56321941483848, .85949666614168, .2360, 0, 2021-04-01 16:40:01
16, COTES, 100001, ADSL, 1, 3, D-Extra 8, 8, 2, 1, 27.459, 6.56238761780776, .85960493335400, .2932, 0, 2021-04-01 17:00:02
17, COTES, 100001, ADSL, 1, 3, D-Extra 8, 8, 2, 1, 27.082, 6.56432240938000, .85718508623792, .2523, 0, 2021-04-01 17:20:01
18, COTES, 100001, ADSL, 1, 3, D-Extra 8, 8, 2, 1, 31.510, 5.72191631947456, .84856891570376, 19.1388, 0, 2021-04-01 17:40:01
19, COTES, 100001, ADSL, 1, 3, D-Extra 8, 8, 2, 1, 27.088, 6.07420545807016, .85307548539232, .2598, 0, 2021-04-01 18:00:01
20, COTES, 100001, ADSL, 1, 3, D-Extra 8, 8, 2, 1, 30.742, 6.52793614825656, .85507445009104, 3.8989, 0, 2021-04-01 18:20:01
21, COTES, 100001, ADSL, 1, 3, D-Extra 8, 8, 2, 1, 32.324, 6.13520988640064, .85199693924568, .2600, 0, 2021-04-01 18:40:01
22, COTES, 100001, ADSL, 1, 3, D-Extra 8, 8, 2, 1, 32.654, 6.33525592520992, .85884975070344, .2428, 0, 2021-04-01 19:00:01
23, COTES, 100001, ADSL, 1, 3, D-Extra 8, 8, 2, 1, 29.294, 6.38664873469920, .85345675751904, 17.4366, 0, 2021-04-01 19:20:01
24, COTES, 100001, ADSL, 1, 3, D-Extra 8, 8, 2, 1, 26.989, 6.47847049789312, .84469874662176, .3718, 0, 2021-04-01 19:40:01
25, COTES, 100001, ADSL, 1, 3, D-Extra 8, 8, 2, 1, 27.249, 6.46939070812504, .85030940948472, .4342, 0, 2021-04-01 20:00:01
26, COTES, 100001, ADSL, 1, 3, D-Extra 8, 8, 2, 1, 27.556, 6.46236997216720, .85322057435168, .3395, 0, 2021-04-01 20:20:01
27, COTES, 100001, ADSL, 1, 3, D-Extra 8, 8, 2, 1, 27.276, 6.49934940345888, .84794004759832, .3484, 0, 2021-04-01 20:40:01
28, COTES, 100001, ADSL, 1, 3, D-Extra 8, 8, 2, 1, 27.074, 6.47965835190152, .84028809291864, .3101, 0, 2021-04-01 21:00:01
29, COTES, 100001, ADSL, 1, 3, D-Extra 8, 8, 2, 1, 27.178, 6.46132738946064, .83635861826392, .3820, 0, 2021-04-01 21:20:01
30, COTES, 100001, ADSL, 1, 3, D-Extra 8, 8, 2, 1, 27.247, 6.56335335648936, .85665366838920, .3154, 0, 2021-04-01 21:40:01
31, COTES, 100001, ADSL, 1, 3, D-Extra 8, 8, 2, 1, 27.167, 6.53335961324280, .85652017382088, .2964, 0, 2021-04-01 22:00:02
32, COTES, 100001, ADSL, 1, 3, D-Extra 8, 8, 2, 1, 27.196, 6.55473469572080, .85546502397560, .2302, 0, 2021-04-02 12:00:01
33, COTES, 100001, ADSL, 1, 3, D-Extra 8, 8, 2, 1, 27.124, 6.56295558579696, .85966715717016, .3698, 0, 2021-04-02 12:20:01
34, COTES, 100001, ADSL, 1, 3, D-Extra 8, 8, 2, 1, 27.155, 6.56292092622040, .85964273013760, .4960, 0, 2021-04-02 12:40:01
35, COTES, 100001, ADSL, 1, 3, D-Extra 8, 8, 2, 1, 27.210, 6.54185524849816, .85896820163160, .4989, 0, 2021-04-02 13:00:01
36, COTES, 100001, ADSL, 1, 3, D-Extra 8, 8, 2, 1, 27.013, 6.56281021989064, .85962437686600, .1944, 0, 2021-04-02 13:20:02
37, COTES, 100001, ADSL, 1, 3, D-Extra 8, 8, 2, 1, 27.296, 6.56310802491496, .85965162067104, .2541, 0, 2021-04-02 13:40:01
38, COTES, 100001, ADSL, 1, 3, D-Extra 8, 8, 2, 1, 27.268, 6.55473704557432, .85962686481160, .3616, 0, 2021-04-02 14:00:01
39, COTES, 100001, ADSL, 1, 3, D-Extra 8, 8, 2, 1, 27.071, 6.56308043092072, .85958916797304, .7660, 0, 2021-04-02 14:20:01
40, COTES, 100001, ADSL, 1, 3, D-Extra 8, 8, 2, 1, 27.185, 6.56351254533272, .85961531924880, 1.2469, 0, 2021-04-02 14:40:01
41, COTES, 100001, ADSL, 1, 3, D-Extra 8, 8, 2, 1, 27.136, 6.56312552445728, .85935877627904, .3675, 0, 2021-04-02 15:00:01
42, COTES, 100001, ADSL, 1, 3, D-Extra 8, 8, 2, 1, 27.075, 6.56256156418904, .85963939838096, .1886, 0, 2021-04-02 15:20:01
43, COTES, 100001, ADSL, 1, 3, D-Extra 8, 8, 2, 1, 27.523, 6.56365861619512, .85952089557288, .2877, 0, 2021-04-02 15:40:01
44, COTES, 100001, ADSL, 1, 3, D-Extra 8, 8, 2, 1, 27.237, 6.56427090333728, .85695822390184, .3889, 0, 2021-04-02 16:00:01
45, COTES, 100001, ADSL, 1, 3, D-Extra 8, 8, 2, 1, 27.140, 6.56300875352176, .85964851474448, .3553, 0, 2021-04-02 16:20:01
46, COTES, 100001, ADSL, 1, 3, D-Extra 8, 8, 2, 1, 27.101, 6.56379055589288, .85964558200528, .3698, 0, 2021-04-02 16:40:01
47, COTES, 100001, ADSL, 1, 3, D-Extra 8, 8, 2, 1, 26.958, 6.56318407929760, .85963275394120, .1757, 0, 2021-04-02 17:00:01
48, COTES, 100001, ADSL, 1, 3, D-Extra 8, 8, 2, 1, 27.145, 6.56340585740512, .85965621661832, .4207, 0, 2021-04-02 17:20:01
49, COTES, 100001, ADSL, 1, 3, D-Extra 8, 8, 2, 1, 27.264, 6.56262919419416, .85962932452840, .4103, 0, 2021-04-02 17:40:01
50, COTES, 100001, ADSL, 1, 3, D-Extra 8, 8, 2, 1, 27.118, 6.56294212601904, .85952980670576, .4318, 0, 2021-04-02 18:00:01
