ID_REGISTRO, OPERADOR, SONDA, TECN, AMBITO, CLASE, PLAN, VEL_CONT_B, VEL_CONT_S, CAT, LAT, VB, VS, JIT, PP, FECHA
1, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.548, 4.10720855429560, .47951952237576, .5437, 0, 2022-04-01 12:00:01
2, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.428, 4.10447677785704, .47970195493264, .4086, 0, 2022-04-01 12:20:01
3, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.300, 4.10732400610880, .47950019711936, .2156, 0, 2022-04-01 12:40:01
4, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.392, 4.10774329703440, .47928851270088, 1.5451, 0, 2022-04-01 13:00:01
5, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.631, 4.10807341254472, .47970072354832, .4403, 0, 2022-04-01 13:20:01
6, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.454, 4.10743036978712, .47975740994992, .2807, 0, 2022-04-01 13:40:01
7, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.369, 4.10815858710560, .47953996457560, .3374, 0, 2022-04-01 14:00:01
8, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.436, 4.10794170325464, .47962185468208, .4566, 0, 2022-04-01 14:20:01
9, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.309, 4.10746529791840, .47961566342840, .2810, 0, 2022-04-01 14:40:01
10, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.282, 4.10798072760784, .47930544919384, .4571, 0, 2022-04-01 15:00:02
11, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.555, 4.10762439520904, .47957122830864, .2140, 0, 2022-04-01 15:20:01
12, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.525, 4.10751723044424, .47957354764456, .2787, 0, 2022-04-01 15:40:01
13, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.377, 4.10757298682264, .47975275601928, .3254, 0, 2022-04-01 16:00:01
14, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.651, 4.10740559027656, .47951496991608, .3891, 0, 2022-04-01 16:20:01
15, COTES, 100001, ADSL, 1, 2, D-Extra 5, 5, 1, 1, 29.634, 4.10899706901184, .47982982587424, .3916, 0, 2022-04-01 16:40:01
