ID_REGISTRO, OPERADOR, SONDA, TECN, AMBITO, CLASE, PLAN, VEL_CONT_B, VEL_CONT_S, CAT, LAT, VB, VS, JIT, PP, FECHA
1, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.290, 4.92342587304520, .85779958971920, .3737, 0, 2023-04-01 12:00:01
2, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 27.903, 4.85461860349880, .85899309253136, .1816, 0, 2023-04-01 12:20:02
3, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.020, 4.92311859841632, .85903375415264, .3849, 0, 2023-04-01 12:40:01
4, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.148, 4.91989213127160, .85397587525784, .3442, 0, 2023-04-01 13:00:01
5, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.000, 4.92309562402048, .85895087451360, .3284, 0, 2023-04-01 13:20:01
6, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.128, 4.92283963494480, .85853576525912, .2507, 0, 2023-04-01 13:40:02
7, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 27.891, 4.92270508752000, .85891298770320, .2632, 0, 2023-04-01 14:00:01
8, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 27.884, 4.92308325295720, .85896045855904, .3203, 0, 2023-04-01 14:20:01
9, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 27.989, 4.92327437692032, .85901948794768, .1319, 0, 2023-04-01 14:40:01
10, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.157, 4.92300423226600, .85906761645744, .2042, 0, 2023-04-01 15:00:01
11, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.071, 4.92297317986720, .80443206785064, .7109, 0, 2023-04-01 15:20:01
12, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.167, 4.92333042931928, .85899540652672, .3146, 0, 2023-04-01 15:40:01
13, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.573, 4.88657995234360, .85872794894512, .2598, 0, 2023-04-01 16:00:01
14, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.214, 4.92287119012072, .80893404540672, .2220, 0, 2023-04-01 16:20:01
15, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.014, 4.92207409996880, .85874915789912, .2513, 0, 2023-04-01 16:40:01
16, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.013, 4.92377788491784, .85912609881848, .2188, 0, 2023-04-01 17:00:01
17, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 27.919, 4.92326225762712, .85548805559184, .2379, 0, 2023-04-01 17:20:01
18, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.088, 4.92312617287928, .85873164386096, .1596, 0, 2023-04-01 17:40:01
19, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.952, 4.92056139854712, .85902293109344, .3117, 0, 2023-04-01 18:00:01
20, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 27.978, 4.92308905968944, .85902466830664, .2733, 0, 2023-04-01 18:20:01
21, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.001, 4.92174554619560, .85881176928848, .2531, 0, 2023-04-01 18:40:01
22, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 27.980, 4.92322691064208, .85891485537896, .3304, 0, 2023-04-01 19:00:01
23, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 27.988, 4.92331351266272, .85903512286600, .4024, 0, 2023-04-01 19:20:01
24, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.554, 4.63842220375832, .85846718386848, .2501, 0, 2023-04-01 19:40:01
25, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.192, 4.92303351769704, .85902987994608, .3760, 0, 2023-04-01 20:00:01
26, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.066, 4.92254458225669, .85523048036504, .2485, 0, 2023-04-01 20:20:01
27, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 27.871, 4.92319004845936, .85891969622984, .3261, 0, 2023-04-01 20:40:01
28, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 28.074, 4.92326756005632, .85899080218712, .1870, 0, 2023-04-01 21:00:01
29, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 29.219, 4.51259763815968, .85668997667792, 1.6675, 0, 2023-04-01 21:20:01
30, COTES, 100001, ADSL, 1, 2, D-Extra 6, 6, 1, 1, 27.901, 4.92275103020816, .85897761325272, .3009, 0, 2023-04-01 21:40:01
