ID_REGISTRO,OPERADOR,SONDA,TECN,AMBITO,CLASE,PLAN,VEL_CONT_B,VEL_CONT_S,CAT,LAT,VB,VS,JIT,PP,FECHA
50,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.27,4.93,1.52,0.35,0,2025-01-02 18:00:01
51,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.62,4.92,1.52,0.18,0,2025-01-02 18:20:01
52,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.91,4.93,1.51,0.39,0,2025-01-02 18:40:01
53,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.48,4.92,1.51,0.34,0,2025-01-02 19:00:01
54,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.75,4.92,1.51,0.39,0,2025-01-02 19:20:01
55,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.47,4.92,1.52,0.26,0,2025-01-02 19:40:02
56,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.51,4.92,1.52,0.24,0,2025-01-02 20:00:02
57,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.54,4.93,1.52,0.36,0,2025-01-02 20:20:02
58,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.73,4.92,1.51,0.28,0,2025-01-02 20:40:02
59,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.34,4.93,1.51,0.16,0,2025-01-02 21:00:02
60,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.63,4.93,1.51,0.43,0,2025-01-02 21:20:01
61,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.22,4.92,1.52,0.22,0,2025-01-02 21:40:02
62,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.73,4.93,1.52,0.33,0,2025-01-02 22:00:01
63,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.35,4.93,1.52,0.39,0,2025-01-03 12:00:01
64,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.54,4.93,1.51,0.21,0,2025-01-03 12:20:02
65,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,28.21,4.92,1.52,0.36,0,2025-01-03 12:40:02
66,COTES,100001,ADSL,1,2,D-Extra 6,6,2,1,27.75,4.93,1.52,0.37,0,2025-01-03 13:00:02
